starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 28 18:35:10 2025	1753707910	0	35	35	24
Mon Jul 28 18:35:10 2025	1753707910	4	53	57	51
Mon Jul 28 18:35:10 2025	1753707910	5	60	66	60
Mon Jul 28 18:35:10 2025	1753707910	4	64	68	63
Mon Jul 28 18:35:10 2025	1753707910	6	66	72	65
Mon Jul 28 18:35:10 2025	1753707910	4	72	77	72
Mon Jul 28 18:35:10 2025	1753707910	4	76	81	75
Mon Jul 28 18:35:15 2025	1753707915	0	86	87	86
Mon Jul 28 18:35:10 2025	1753707910	6	81	87	81
Mon Jul 28 18:35:11 2025	1753707911	0	88	88	72
Mon Jul 28 18:35:11 2025	1753707911	0	91	91	90
Mon Jul 28 18:35:15 2025	1753707915	0	91	91	91
Mon Jul 28 18:35:15 2025	1753707915	0	94	94	91
Mon Jul 28 18:35:10 2025	1753707910	5	89	94	88
Mon Jul 28 18:35:11 2025	1753707911	3	91	94	89
Mon Jul 28 18:35:11 2025	1753707911	0	94	94	92
Mon Jul 28 18:35:15 2025	1753707915	0	96	96	95
Mon Jul 28 18:35:15 2025	1753707915	0	96	97	95
Mon Jul 28 18:35:11 2025	1753707911	0	97	97	71
Mon Jul 28 18:35:15 2025	1753707915	0	97	98	95
Mon Jul 28 18:35:15 2025	1753707915	0	98	98	96
Mon Jul 28 18:35:15 2025	1753707915	1	99	99	97
Mon Jul 28 18:35:15 2025	1753707915	0	99	100	97
Mon Jul 28 18:35:15 2025	1753707915	0	100	100	93
Mon Jul 28 18:35:11 2025	1753707911	1	99	100	96
Mon Jul 28 18:35:15 2025	1753707915	0	102	102	99
Mon Jul 28 18:35:11 2025	1753707911	0	102	102	90
Mon Jul 28 18:35:11 2025	1753707911	0	103	103	102
Mon Jul 28 18:35:11 2025	1753707911	0	103	103	72
Mon Jul 28 18:35:15 2025	1753707915	0	103	103	102
Mon Jul 28 18:35:11 2025	1753707911	0	104	104	103
Mon Jul 28 18:35:15 2025	1753707915	0	104	104	102
Mon Jul 28 18:35:15 2025	1753707915	0	105	105	102
Mon Jul 28 18:35:15 2025	1753707915	0	106	106	105
Mon Jul 28 18:35:15 2025	1753707915	0	107	107	102
Mon Jul 28 18:35:15 2025	1753707915	0	110	111	110
Mon Jul 28 18:35:15 2025	1753707915	0	111	111	109
Mon Jul 28 18:35:10 2025	1753707910	5	108	113	107
Mon Jul 28 18:35:15 2025	1753707915	0	112	113	111
Mon Jul 28 18:35:15 2025	1753707915	0	113	113	101
Mon Jul 28 18:35:15 2025	1753707915	0	114	114	111
Mon Jul 28 18:35:15 2025	1753707915	0	114	114	113
Mon Jul 28 18:35:11 2025	1753707911	0	114	115	114
Mon Jul 28 18:35:15 2025	1753707915	0	116	117	114
Mon Jul 28 18:35:15 2025	1753707915	0	117	118	116
Mon Jul 28 18:35:15 2025	1753707915	0	119	119	118
Mon Jul 28 18:35:11 2025	1753707911	0	119	119	118
Mon Jul 28 18:35:11 2025	1753707911	1	119	119	116
Mon Jul 28 18:35:13 2025	1753707913	0	119	119	119
Mon Jul 28 18:35:11 2025	1753707911	1	119	120	117
Mon Jul 28 18:35:15 2025	1753707915	0	120	120	119
Mon Jul 28 18:35:14 2025	1753707914	0	122	123	122
Mon Jul 28 18:35:15 2025	1753707915	0	123	123	122
Mon Jul 28 18:35:11 2025	1753707911	1	122	123	120
Mon Jul 28 18:35:11 2025	1753707911	0	123	124	122
Mon Jul 28 18:35:11 2025	1753707911	0	124	124	123
Mon Jul 28 18:35:11 2025	1753707911	1	123	124	122
Mon Jul 28 18:35:15 2025	1753707915	0	125	125	123
Mon Jul 28 18:35:15 2025	1753707915	1	125	126	124
Mon Jul 28 18:35:11 2025	1753707911	0	126	126	125
Mon Jul 28 18:35:15 2025	1753707915	1	126	127	124
Mon Jul 28 18:35:14 2025	1753707914	0	127	127	126
Mon Jul 28 18:35:11 2025	1753707911	0	127	127	106
Mon Jul 28 18:35:15 2025	1753707915	0	128	128	127
Mon Jul 28 18:35:14 2025	1753707914	0	128	128	121
Mon Jul 28 18:35:14 2025	1753707914	0	129	129	127
Mon Jul 28 18:35:11 2025	1753707911	0	129	129	128
Mon Jul 28 18:35:11 2025	1753707911	1	129	130	117
Mon Jul 28 18:35:11 2025	1753707911	0	131	132	130
Mon Jul 28 18:35:11 2025	1753707911	0	132	132	131
Mon Jul 28 18:35:15 2025	1753707915	0	132	132	131
Mon Jul 28 18:35:14 2025	1753707914	1	131	132	130
Mon Jul 28 18:35:14 2025	1753707914	1	132	132	131
Mon Jul 28 18:35:11 2025	1753707911	1	132	133	131
Mon Jul 28 18:35:15 2025	1753707915	0	133	133	128
Mon Jul 28 18:35:11 2025	1753707911	0	133	133	129
Mon Jul 28 18:35:10 2025	1753707910	0	133	133	132
Mon Jul 28 18:35:11 2025	1753707911	1	133	133	132
Mon Jul 28 18:35:11 2025	1753707911	0	133	133	132
Mon Jul 28 18:35:15 2025	1753707915	0	133	133	133
Mon Jul 28 18:35:11 2025	1753707911	0	135	135	133
Mon Jul 28 18:35:14 2025	1753707914	0	135	135	134
Mon Jul 28 18:35:14 2025	1753707914	1	135	135	134
Mon Jul 28 18:35:15 2025	1753707915	1	136	137	135
Mon Jul 28 18:35:11 2025	1753707911	1	137	138	136
Mon Jul 28 18:35:11 2025	1753707911	1	138	139	136
Mon Jul 28 18:35:11 2025	1753707911	0	139	139	138
Mon Jul 28 18:35:11 2025	1753707911	0	139	139	138
Mon Jul 28 18:35:10 2025	1753707910	0	139	139	135
Mon Jul 28 18:35:11 2025	1753707911	0	140	140	139
Mon Jul 28 18:35:11 2025	1753707911	0	140	140	139
Mon Jul 28 18:35:11 2025	1753707911	0	140	140	139
Mon Jul 28 18:35:11 2025	1753707911	0	141	141	140
Mon Jul 28 18:35:11 2025	1753707911	1	141	142	139
Mon Jul 28 18:35:11 2025	1753707911	0	142	142	141
Mon Jul 28 18:35:11 2025	1753707911	0	144	144	140
Mon Jul 28 18:35:11 2025	1753707911	1	144	144	143
Mon Jul 28 18:35:14 2025	1753707914	0	145	145	137
Mon Jul 28 18:35:11 2025	1753707911	0	145	145	137
Mon Jul 28 18:35:15 2025	1753707915	0	145	145	143
Mon Jul 28 18:35:11 2025	1753707911	1	145	145	143
Mon Jul 28 18:35:11 2025	1753707911	1	145	146	144
Mon Jul 28 18:35:14 2025	1753707914	0	146	146	144
Mon Jul 28 18:35:14 2025	1753707914	0	146	146	144
Mon Jul 28 18:35:11 2025	1753707911	0	146	146	145
Mon Jul 28 18:35:15 2025	1753707915	0	146	146	144
Mon Jul 28 18:35:11 2025	1753707911	0	147	147	146
Mon Jul 28 18:35:14 2025	1753707914	0	147	147	146
Mon Jul 28 18:35:14 2025	1753707914	0	147	147	146
Mon Jul 28 18:35:11 2025	1753707911	1	147	148	146
Mon Jul 28 18:35:11 2025	1753707911	1	147	148	146
Mon Jul 28 18:35:11 2025	1753707911	0	149	149	146
Mon Jul 28 18:35:11 2025	1753707911	1	148	149	147
Mon Jul 28 18:35:11 2025	1753707911	0	149	149	147
Mon Jul 28 18:35:11 2025	1753707911	0	149	150	146
Mon Jul 28 18:35:11 2025	1753707911	0	149	150	147
Mon Jul 28 18:35:11 2025	1753707911	1	149	151	149
Mon Jul 28 18:35:11 2025	1753707911	2	149	151	139
Mon Jul 28 18:35:11 2025	1753707911	0	151	151	151
Mon Jul 28 18:35:11 2025	1753707911	2	150	152	148
Mon Jul 28 18:35:11 2025	1753707911	0	152	152	152
Mon Jul 28 18:35:14 2025	1753707914	1	152	152	151
Mon Jul 28 18:35:14 2025	1753707914	0	152	152	152
Mon Jul 28 18:35:14 2025	1753707914	0	152	153	150
Mon Jul 28 18:35:11 2025	1753707911	0	153	153	151
Mon Jul 28 18:35:11 2025	1753707911	0	153	153	150
Mon Jul 28 18:35:11 2025	1753707911	0	153	153	145
Mon Jul 28 18:35:11 2025	1753707911	0	154	154	152
Mon Jul 28 18:35:14 2025	1753707914	0	154	155	152
Mon Jul 28 18:35:14 2025	1753707914	1	155	155	154
Mon Jul 28 18:35:11 2025	1753707911	0	155	155	154
Mon Jul 28 18:35:11 2025	1753707911	1	155	156	153
Mon Jul 28 18:35:14 2025	1753707914	0	156	156	155
Mon Jul 28 18:35:14 2025	1753707914	0	156	156	155
Mon Jul 28 18:35:11 2025	1753707911	1	155	157	154
Mon Jul 28 18:35:11 2025	1753707911	0	157	157	156
Mon Jul 28 18:35:14 2025	1753707914	0	157	157	157
Mon Jul 28 18:35:11 2025	1753707911	0	157	157	156
Mon Jul 28 18:35:14 2025	1753707914	1	157	158	155
Mon Jul 28 18:35:14 2025	1753707914	0	157	158	157
Mon Jul 28 18:35:14 2025	1753707914	0	158	158	157
Mon Jul 28 18:35:11 2025	1753707911	0	158	158	157
Mon Jul 28 18:35:11 2025	1753707911	0	158	158	157
Mon Jul 28 18:35:11 2025	1753707911	1	157	158	157
Mon Jul 28 18:35:11 2025	1753707911	0	158	158	156
Mon Jul 28 18:35:15 2025	1753707915	0	158	159	157
Mon Jul 28 18:35:11 2025	1753707911	0	159	159	157
Mon Jul 28 18:35:11 2025	1753707911	0	159	159	158
Mon Jul 28 18:35:11 2025	1753707911	0	159	160	150
Mon Jul 28 18:35:11 2025	1753707911	0	159	160	148
Mon Jul 28 18:35:11 2025	1753707911	0	160	160	158
Mon Jul 28 18:35:14 2025	1753707914	1	159	160	158
Mon Jul 28 18:35:11 2025	1753707911	0	160	160	159
Mon Jul 28 18:35:11 2025	1753707911	0	160	160	160
Mon Jul 28 18:35:14 2025	1753707914	1	160	161	159
Mon Jul 28 18:35:14 2025	1753707914	0	160	161	158
Mon Jul 28 18:35:14 2025	1753707914	1	161	161	159
Mon Jul 28 18:35:14 2025	1753707914	0	161	161	161
Mon Jul 28 18:35:14 2025	1753707914	0	161	162	159
Mon Jul 28 18:35:14 2025	1753707914	0	162	162	158
Mon Jul 28 18:35:11 2025	1753707911	0	161	162	160
Mon Jul 28 18:35:11 2025	1753707911	0	162	162	161
Mon Jul 28 18:35:14 2025	1753707914	0	162	162	161
Mon Jul 28 18:35:11 2025	1753707911	0	162	162	162
Mon Jul 28 18:35:14 2025	1753707914	1	161	162	161
Mon Jul 28 18:35:14 2025	1753707914	0	162	162	162
Mon Jul 28 18:35:11 2025	1753707911	0	162	162	160
Mon Jul 28 18:35:14 2025	1753707914	0	163	163	162
Mon Jul 28 18:35:11 2025	1753707911	1	162	163	162
Mon Jul 28 18:35:14 2025	1753707914	0	164	164	155
Mon Jul 28 18:35:14 2025	1753707914	0	164	165	163
Mon Jul 28 18:35:11 2025	1753707911	1	164	165	163
Mon Jul 28 18:35:11 2025	1753707911	0	165	165	163
Mon Jul 28 18:35:11 2025	1753707911	0	165	165	164
Mon Jul 28 18:35:14 2025	1753707914	0	165	165	165
Mon Jul 28 18:35:14 2025	1753707914	1	165	165	164
Mon Jul 28 18:35:11 2025	1753707911	1	165	166	162
Mon Jul 28 18:35:14 2025	1753707914	0	165	166	164
Mon Jul 28 18:35:11 2025	1753707911	0	165	166	165
Mon Jul 28 18:35:11 2025	1753707911	0	166	166	163
Mon Jul 28 18:35:14 2025	1753707914	1	165	166	164
Mon Jul 28 18:35:11 2025	1753707911	1	165	166	162
Mon Jul 28 18:35:11 2025	1753707911	0	166	166	163
Mon Jul 28 18:35:14 2025	1753707914	0	166	166	166
Mon Jul 28 18:35:14 2025	1753707914	0	167	167	166
Mon Jul 28 18:35:14 2025	1753707914	0	167	167	166
Mon Jul 28 18:35:11 2025	1753707911	0	167	167	166
Mon Jul 28 18:35:11 2025	1753707911	0	167	168	167
Mon Jul 28 18:35:11 2025	1753707911	1	167	168	166
Mon Jul 28 18:35:11 2025	1753707911	1	167	168	163
Mon Jul 28 18:35:14 2025	1753707914	0	168	168	167
Mon Jul 28 18:35:14 2025	1753707914	0	168	168	167
Mon Jul 28 18:35:11 2025	1753707911	1	167	168	166
Mon Jul 28 18:35:11 2025	1753707911	1	167	168	164
Mon Jul 28 18:35:14 2025	1753707914	1	167	168	166
Mon Jul 28 18:35:14 2025	1753707914	0	168	168	167
Mon Jul 28 18:35:14 2025	1753707914	0	168	168	167
Mon Jul 28 18:35:14 2025	1753707914	1	168	168	167
Mon Jul 28 18:35:11 2025	1753707911	1	167	169	165
Mon Jul 28 18:35:11 2025	1753707911	2	167	169	163
Mon Jul 28 18:35:14 2025	1753707914	0	169	169	167
Mon Jul 28 18:35:11 2025	1753707911	0	169	169	167
Mon Jul 28 18:35:11 2025	1753707911	0	169	169	168
Mon Jul 28 18:35:11 2025	1753707911	1	168	169	167
Mon Jul 28 18:35:14 2025	1753707914	0	169	170	169
Mon Jul 28 18:35:11 2025	1753707911	0	169	170	169
Mon Jul 28 18:35:11 2025	1753707911	0	170	170	169
Mon Jul 28 18:35:14 2025	1753707914	0	170	170	170
Mon Jul 28 18:35:14 2025	1753707914	0	170	170	169
Mon Jul 28 18:35:14 2025	1753707914	1	170	171	167
Mon Jul 28 18:35:11 2025	1753707911	0	170	171	169
Mon Jul 28 18:35:11 2025	1753707911	0	170	171	169
Mon Jul 28 18:35:11 2025	1753707911	0	171	171	168
Mon Jul 28 18:35:11 2025	1753707911	0	171	171	168
Mon Jul 28 18:35:14 2025	1753707914	0	171	172	170
Mon Jul 28 18:35:11 2025	1753707911	0	172	172	171
Mon Jul 28 18:35:14 2025	1753707914	0	172	172	171
Mon Jul 28 18:35:14 2025	1753707914	0	172	172	171
Mon Jul 28 18:35:11 2025	1753707911	0	172	172	171
Mon Jul 28 18:35:11 2025	1753707911	0	172	172	166
Mon Jul 28 18:35:11 2025	1753707911	1	172	173	171
Mon Jul 28 18:35:14 2025	1753707914	0	173	173	170
Mon Jul 28 18:35:14 2025	1753707914	0	173	174	167
Mon Jul 28 18:35:14 2025	1753707914	1	173	174	172
Mon Jul 28 18:35:11 2025	1753707911	0	174	174	172
Mon Jul 28 18:35:14 2025	1753707914	1	173	174	172
Mon Jul 28 18:35:14 2025	1753707914	1	173	174	172
Mon Jul 28 18:35:14 2025	1753707914	1	173	174	166
Mon Jul 28 18:35:14 2025	1753707914	1	173	174	172
Mon Jul 28 18:35:11 2025	1753707911	0	174	174	164
Mon Jul 28 18:35:11 2025	1753707911	0	174	175	174
Mon Jul 28 18:35:11 2025	1753707911	1	174	175	171
Mon Jul 28 18:35:11 2025	1753707911	0	175	176	171
Mon Jul 28 18:35:11 2025	1753707911	0	176	176	170
Mon Jul 28 18:35:14 2025	1753707914	0	175	176	174
Mon Jul 28 18:35:14 2025	1753707914	1	175	176	174
Mon Jul 28 18:35:13 2025	1753707913	1	175	176	174
Mon Jul 28 18:35:11 2025	1753707911	0	176	176	170
Mon Jul 28 18:35:14 2025	1753707914	0	177	177	176
Mon Jul 28 18:35:11 2025	1753707911	1	176	177	176
Mon Jul 28 18:35:14 2025	1753707914	1	176	177	168
Mon Jul 28 18:35:14 2025	1753707914	0	177	177	176
Mon Jul 28 18:35:15 2025	1753707915	0	177	177	176
Mon Jul 28 18:35:14 2025	1753707914	0	177	177	177
Mon Jul 28 18:35:14 2025	1753707914	0	178	178	177
Mon Jul 28 18:35:14 2025	1753707914	1	177	178	177
Mon Jul 28 18:35:14 2025	1753707914	1	177	178	176
Mon Jul 28 18:35:14 2025	1753707914	0	178	178	178
Mon Jul 28 18:35:13 2025	1753707913	0	178	179	177
Mon Jul 28 18:35:14 2025	1753707914	1	178	179	177
Mon Jul 28 18:35:13 2025	1753707913	0	178	179	175
Mon Jul 28 18:35:11 2025	1753707911	0	178	179	176
Mon Jul 28 18:35:13 2025	1753707913	0	179	179	178
Mon Jul 28 18:35:11 2025	1753707911	0	179	179	174
Mon Jul 28 18:35:14 2025	1753707914	0	179	179	176
Mon Jul 28 18:35:11 2025	1753707911	0	180	180	179
Mon Jul 28 18:35:14 2025	1753707914	0	180	180	179
Mon Jul 28 18:35:15 2025	1753707915	1	179	180	174
Mon Jul 28 18:35:14 2025	1753707914	1	179	180	179
Mon Jul 28 18:35:13 2025	1753707913	4	177	180	176
Mon Jul 28 18:35:11 2025	1753707911	0	180	180	179
Mon Jul 28 18:35:14 2025	1753707914	0	180	180	179
Mon Jul 28 18:35:11 2025	1753707911	0	180	180	179
Mon Jul 28 18:35:11 2025	1753707911	0	180	180	177
Mon Jul 28 18:35:11 2025	1753707911	0	180	181	172
Mon Jul 28 18:35:11 2025	1753707911	0	181	181	176
Mon Jul 28 18:35:14 2025	1753707914	0	181	181	179
